,data,valor_combustiveis
24,2019-01-22,3.552333
25,2019-05-22,3.8710563
26,2019-01-23,3.6614
27,2019-05-23,3.805
28,2019-04-24,3.9248898
29,2019-04-25,3.999
30,2019-06-25,3.7335863
31,2019-02-27,3.7241561
32,2019-03-27,3.8052187
33,2019-02-28,3.6200001
34,2019-05-28,3.847672
35,2019-01-29,3.5993667
36,2019-04-29,3.927333
37,2019-01-30,3.66675
38,2019-04-30,3.9157403
0,2016-06-01,3.0065258
1,2016-02-02,3.1756365
2,2016-02-03,3.1978126
3,2016-03-03,3.199965
4,2016-05-03,3.0646975
5,2016-02-04,3.1615
6,2016-05-04,2.7823334
7,2016-01-05,2.98525
8,2016-04-05,3.3123078
9,2016-01-06,3.014325
10,2016-04-07,3.2162957
11,2016-06-08,3.0194511
12,2016-02-09,3.2193334
13,2016-03-09,3.206921
14,2016-02-10,3.1674166
15,2016-02-11,3.2056665
16,2016-05-11,3.027654
17,2016-01-12,3.0184934
18,2016-04-13,3.1408877
19,2016-06-15,3.0347652
20,2016-02-16,3.559
21,2016-03-16,3.1762354
22,2016-06-16,3.0347142
23,2016-02-17,3.1300123
24,2016-05-17,3.003195
25,2016-01-19,3.1228588
26,2016-04-19,3.1361518
27,2016-01-20,3.0440001
28,2016-03-22,3.1832318
29,2016-06-22,3.0017
30,2016-02-23,3.189889
31,2016-05-23,3.1236668
32,2016-02-24,3.14485
33,2016-05-24,2.9940476
34,2016-02-25,3.2264261
35,2016-05-25,3.1923332
36,2016-01-26,3.1672258
37,2016-01-27,3.16949
38,2016-06-27,3.154
39,2016-04-28,3.0706463
40,2016-06-28,3.0424078
41,2016-06-29,2.9323332
42,2016-03-31,3.2023845
0,2013-07-01,2.359386
1,2013-09-02,2.33426
2,2013-12-02,2.4155786
3,2013-12-03,2.499
4,2013-11-04,2.3372161
5,2013-08-05,2.3444896
6,2013-10-07,2.3253703
7,2013-07-08,2.3562417
8,2013-09-09,2.3330123
9,2013-12-09,2.4392478
10,2013-12-10,2.499
11,2013-07-11,2.324
12,2013-11-11,2.344917
13,2013-08-12,2.3410165
14,2013-11-12,2.4561665
15,2013-10-14,2.3297448
16,2013-07-15,2.3464627
17,2013-09-16,2.3336585
18,2013-12-16,2.442592
19,2013-11-18,2.340254
20,2013-08-19,2.3406968
21,2013-10-21,2.334836
22,2013-07-22,2.3473086
23,2013-09-23,2.3308406
24,2013-12-23,2.4713511
25,2013-11-25,2.452
26,2013-08-26,2.333455
27,2013-11-26,2.3359215
28,2013-10-28,2.3381119
29,2013-07-29,2.344406
30,2013-09-30,2.3304205
31,2013-12-30,2.4739308
0,2018-02-01,3.6755297
1,2018-03-01,3.7070694
2,2018-01-03,3.799
3,2018-01-04,3.5523138
4,2018-04-04,3.7399735
5,2018-02-05,3.9656668
6,2018-06-06,3.9346666
7,2018-02-07,3.6628761
8,2018-03-07,3.660492
9,2018-06-07,3.8677657
10,2018-01-08,3.630594
11,2018-01-09,3.5830002
12,2018-05-09,3.6775043
13,2018-06-11,3.8388
14,2018-04-12,3.7114737
15,2018-06-12,3.8024945
16,2018-03-13,3.7303333
17,2018-02-14,3.692084
18,2018-02-15,3.780174
19,2018-03-15,3.664574
20,2018-05-15,3.6698391
21,2018-01-17,3.6272922
22,2018-04-17,3.6852765
23,2018-01-18,3.6578333
24,2018-06-18,3.8420498
25,2018-03-19,3.797588
26,2018-03-20,3.7001235
27,2018-02-21,3.6624365
28,2018-01-23,3.64689
29,2018-05-23,3.7559316
30,2018-01-24,3.804
31,2018-04-24,3.5790002
32,2018-06-25,3.7925863
33,2018-04-26,3.6534286
34,2018-03-28,3.7415998
35,2018-03-29,3.75675
36,2018-04-30,3.678359
0,2013-04-01,2.464577
1,2013-04-02,2.4269154
2,2013-04-03,2.4733334
3,2013-06-03,2.4367125
4,2013-02-04,2.3524055
5,2013-03-04,2.4035985
6,2013-03-05,2.3857155
7,2013-05-06,2.5069504
8,2013-01-07,2.3288193
9,2013-01-08,2.359
10,2013-04-08,2.4978902
11,2013-04-09,2.4183333
12,2013-06-10,2.4027207
13,2013-02-11,2.4411292
14,2013-03-11,2.4709558
15,2013-03-12,2.454087
16,2013-05-13,2.4374537
17,2013-01-14,2.3861992
18,2013-02-14,2.449
19,2013-02-15,2.40997
20,2013-04-15,2.4148428
21,2013-06-17,2.399533
22,2013-02-18,2.376566
23,2013-03-18,2.4054165
24,2013-05-20,2.5010068
25,2013-01-21,2.3201804
26,2013-02-21,2.4390001
27,2013-04-22,2.4961958
28,2013-05-22,2.4498942
29,2013-06-24,2.3903186
30,2013-02-25,2.4519641
31,2013-03-25,2.5012722
32,2013-06-25,2.4462895
33,2013-06-26,2.3192225
34,2013-05-27,2.4374256
35,2013-01-29,2.40266
36,2013-04-29,2.4367065
37,2013-01-30,2.3447227
0,2018-10-01,3.8681774
1,2018-07-04,3.8150575
2,2018-09-05,3.8026166
3,2018-12-05,3.7266808
4,2018-08-06,3.6656666
5,2018-11-07,3.9009676
6,2018-08-08,3.6945727
7,2018-07-10,3.7550588
8,2018-10-10,3.8998594
9,2018-07-12,3.7186668
10,2018-12-12,3.6971025
11,2018-09-13,3.84909
12,2018-11-13,3.8784595
13,2018-08-14,3.6773496
14,2018-10-15,3.9070976
15,2018-07-16,3.7501998
16,2018-09-18,3.8656228
17,2018-08-20,3.5964763
18,2018-12-20,3.6866918
19,2018-08-21,3.6590862
20,2018-11-21,3.8636117
21,2018-07-23,3.7449486
22,2018-10-23,3.9199104
23,2018-09-25,3.8567016
24,2018-07-26,3.6313334
25,2018-12-27,3.6642144
26,2018-08-28,3.6491885
27,2018-11-28,3.739
28,2018-10-29,3.929281
29,2018-11-29,3.7964878
30,2018-07-31,3.7330832
0,2017-02-01,3.164
1,2017-03-01,3.235458
2,2017-06-01,3.0677261
3,2017-01-04,3.2292585
4,2017-05-04,3.1609492
5,2017-01-05,3.2950475
6,2017-04-05,3.1198652
7,2017-06-06,3.041307
8,2017-02-08,3.2895172
9,2017-03-08,3.2054884
10,2017-05-08,3.064862
11,2017-03-09,3.3956668
12,2017-01-12,3.2633865
13,2017-04-12,3.1032095
14,2017-02-14,3.271
15,2017-06-14,3.069963
16,2017-03-15,3.1852856
17,2017-02-16,3.2476282
18,2017-05-16,3.1179268
19,2017-04-17,3.14255
20,2017-01-18,3.2723126
21,2017-05-18,3.093
22,2017-04-19,3.0323334
23,2017-06-20,3.0244534
24,2017-02-21,3.2553103
25,2017-03-22,3.1266289
26,2017-05-23,3.056678
27,2017-04-24,2.8903332
28,2017-01-25,3.2981863
29,2017-04-26,3.0693884
30,2017-06-27,3.0245543
31,2017-03-29,3.1040227
32,2017-01-31,3.2614934
0,2019-10-01,3.7138302
1,2019-07-02,3.681397
2,2019-10-02,3.7815404
3,2019-12-02,3.8459759
4,2019-09-03,3.620375
5,2019-10-03,3.654125
6,2019-09-04,3.5976017
7,2019-11-04,3.878
8,2019-12-04,3.9843497
9,2019-08-05,3.6081579
10,2019-11-05,3.7381427
11,2019-08-06,3.6854644
12,2019-10-07,3.8632307
13,2019-10-08,3.8293784
14,2019-09-09,3.5863333
15,2019-10-09,3.7088788
16,2019-07-10,3.594
17,2019-09-10,3.647889
18,2019-12-10,3.87677
19,2019-07-11,3.7169135
20,2019-11-11,3.765677
21,2019-12-11,3.8326786
22,2019-11-12,3.7891374
23,2019-12-12,3.942
24,2019-08-14,3.6980076
25,2019-10-14,3.7675614
26,2019-10-15,3.7532742
27,2019-07-16,3.6522968
28,2019-07-17,3.691
29,2019-09-17,3.581
30,2019-12-17,3.8709366
31,2019-11-18,3.7595284
32,2019-12-18,3.88739
33,2019-09-19,3.6585338
34,2019-11-19,3.7622836
35,2019-08-21,3.6649628
